csv_file_name,peak_area,RT1_center,RT2_center,RT1_start,RT2_start,RT1_end,RT2_end,sample_name,label
230823_01_Atacama_Soil_300uLDCM_100oC24h-001.csv,68872.79999999999,9043.312,2.552,9039.808,2.6,9046.816,2.504,Atacama Soil,1
230823_01_Atacama_Soil_300uLDCM_100oC24h-001.csv,96290.23,9046.816,2.056,9039.808,2.096,9053.824,2.016,Atacama Soil,1
230823_01_Atacama_Soil_300uLDCM_100oC24h-001.csv,53811.68,10010.416,1.856,10010.416,1.912,10013.92,1.8,Atacama Soil,1
231003_01_AZ_400uLDCM_100oC24h.csv,84993.80000000002,7694.272,3.232,7694.272,3.32,7697.776,3.136,AZ,0
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,97992.0,4323.424,1.128,4323.424,1.168,4326.928,1.088,Murchison,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,844413.47,8416.096,1.112,8416.096,1.136,8419.6,1.08,Green River Shale Soil,1
230823_06_Jarosite_Soil_300uLDCM_100oC24h.csv,136324.0,5024.224,1.224,5020.72,1.264,5027.728,1.176,Jarosite Soil,1
230823_01_Atacama_Soil_300uLDCM_100oC24h-001.csv,265163.07,4432.048,1.152,4432.048,1.192,4435.552,1.112,Atacama Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,1493629.85,3170.608,1.408,3170.608,1.44,3174.112,1.376,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,579680.42,6345.232,1.392,6345.232,1.432,6345.232,1.352,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,489716.29,7529.584,1.176,7529.584,1.208,7529.584,1.144,Lignite,1
230901_05_GSFC_soil_300uLDCM_100oC24h.csv,254955.93,4432.048,1.12,4432.048,1.152,4435.552,1.08,GSFC Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,71690.5,8037.664,2.352,8037.664,2.408,8037.664,2.288,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,219997.08000000005,7957.072,1.928,7953.568,2.0,7960.576,1.848,Lignite,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,171414.61000000002,7550.608,2.608,7550.608,2.672,7554.112,2.544,Orgueil,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,428685.2499999999,6695.632,2.384,6695.632,2.496,6699.136,2.264,Orgueil,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,73927.51,4078.144,2.184,4078.144,2.232,4078.144,2.136,Orgueil,0
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,646680.8300000001,4078.144,2.176,4074.64,2.264,4081.648,2.08,Murchison,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,36776.0,4074.64,1.44,4074.64,1.464,4074.64,1.408,Jbilet Winselwan,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,2321737.48,7687.264,2.352,7683.76,2.52,7690.768,2.176,LEW 85311,0
